track_id,timestamp,Radar id,time_from_start,num assoc,range,doppler,x,y,z,vx,vy,vz,calc_dopp,is assoc,assoc_timestamp,assoc_x,assoc_y,assoc_z,assoc_dopp,z var,class,time_no_assoc,doppler history,range innov
17,22.35,0,22.15,16,28.0,-1.6,0.0,27.9,-0.5,0.0,-1.6,3.5,-1.6,1,22.35,0.0,27.7,0.7,-1.6,7.44,Human,0,-1.624,0
17,22.4,0,22.2,16,28.0,-1.6,0.0,27.8,-0.3,0.0,-1.6,3.5,-1.6,0,,,,,,7.44,Human,0.05,-1.624,-0.079
17,22.45,0,22.25,16,27.9,-1.6,0.0,27.7,-0.1,0.0,-1.6,3.5,-1.6,0,,,,,,7.44,Human,0.1,-1.624,-0.158
17,22.55,0,22.35,17,27.7,-1.4,0.0,27.6,-0.8,0.0,-1.5,2.3,-1.6,1,22.55,0.0,27.6,-1.6,-1.3,7.17,Human,0,-1.299,0
17,22.6,0,22.4,18,27.7,-1.3,0.4,27.6,-1.2,0.5,-1.5,1.6,-1.5,1,22.6,0.9,27.6,-2.0,-1.3,6.85,Human,0,-1.299,0
17,22.65,0,22.45,19,27.6,-1.3,0.3,27.5,-2.1,0.3,-1.5,0.5,-1.5,1,22.65,0.0,27.4,-3.6,-1.3,6.78,Human,0,-1.299,0
17,22.75,0,22.55,20,27.6,-1.2,0.6,27.5,-1.6,0.7,-1.3,1.1,-1.3,1,22.75,0.9,27.6,-0.8,-1.1,6.5,Human,0,-1.137,0
17,22.8,0,22.6,20,27.5,-1.2,0.6,27.4,-1.5,0.7,-1.3,1.1,-1.3,0,,,,,,6.5,Human,0.05,-1.137,-0.061
29,30.6,0,30.4,20,19.9,-1.3,0.3,19.8,-1.1,0.4,-1.7,-1.2,-1.6,1,30.6,0.6,19.5,-0.6,-1.3,1.8,Human,0,-1.299,0
29,30.65,0,30.45,20,19.8,-1.3,0.3,19.7,-1.2,0.4,-1.7,-1.2,-1.6,0,,,,,,1.8,Human,0.05,-1.299,-0.063
29,30.7,0,30.5,21,19.6,-1.4,0.2,19.6,-0.8,0.2,-1.7,-0.6,-1.7,1,30.7,0.0,19.5,-0.2,-1.5,1.77,Human,0,-1.462,0
29,30.75,0,30.55,21,19.6,-1.4,0.2,19.5,-0.8,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.05,-1.462,-0.069
29,30.8,0,30.6,21,19.5,-1.4,0.2,19.4,-0.8,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.1,-1.462,-0.139
29,30.85,0,30.65,21,19.4,-1.4,0.2,19.3,-0.9,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.15,-1.462,-0.208
29,30.9,0,30.7,21,19.4,-1.4,0.2,19.2,-0.9,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.2,-1.462,-0.278
29,30.95,0,30.75,21,19.3,-1.4,0.2,19.1,-0.9,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.25,-1.462,-0.347
29,31.0,0,30.8,21,19.2,-1.4,0.2,19.0,-1.0,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.3,-1.462,-0.417
29,31.05,0,30.85,21,19.2,-1.4,0.2,19.0,-1.0,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.35,-1.462,-0.486
29,31.1,0,30.9,21,19.1,-1.4,0.2,18.9,-1.0,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.4,-1.462,-0.556
29,31.15,0,30.95,21,19.0,-1.4,0.3,18.8,-1.1,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.45,-1.462,-0.625
29,31.2,0,31.0,21,18.9,-1.4,0.3,18.7,-1.1,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.5,-1.462,-0.695
29,31.25,0,31.05,21,18.9,-1.4,0.3,18.6,-1.1,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.55,-1.462,-0.764
29,31.3,0,31.1,21,18.8,-1.4,0.3,18.5,-1.1,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.6,-1.462,-0.834
29,31.35,0,31.15,21,18.7,-1.4,0.3,18.4,-1.2,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.65,-1.462,-0.903
29,31.4,0,31.2,21,18.7,-1.4,0.3,18.3,-1.2,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.7,-1.462,-0.973
29,31.45,0,31.25,21,18.6,-1.4,0.3,18.3,-1.2,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.75,-1.462,-1.042
29,31.5,0,31.3,21,18.5,-1.4,0.3,18.2,-1.3,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.8,-1.462,-1.112
29,31.55,0,31.35,21,18.5,-1.4,0.3,18.1,-1.3,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.85,-1.462,-1.181
29,31.6,0,31.4,21,18.4,-1.4,0.3,18.0,-1.3,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.9,-1.462,-1.251
29,31.65,0,31.45,21,18.3,-1.4,0.3,17.9,-1.4,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,0.95,-1.462,-1.32
29,31.7,0,31.5,21,18.2,-1.4,0.4,17.8,-1.4,0.2,-1.7,-0.6,-1.7,0,,,,,,1.77,Human,1.0,-1.462,-1.39
32,33.75,0,33.55,22,15.9,-1.1,2.0,12.6,-9.6,0.6,-2.5,-1.9,-0.8,1,33.75,1.9,12.1,-9.5,-1.0,1.31,Human,0,-0.974,0
32,33.8,0,33.6,22,15.8,-1.1,2.0,12.4,-9.7,0.6,-2.5,-1.9,-0.7,0,,,,,,1.31,Human,0.05,-0.974,-0.054
32,33.85,0,33.65,22,15.8,-1.1,2.0,12.3,-9.8,0.6,-2.5,-1.9,-0.7,0,,,,,,1.31,Human,0.1,-0.974,-0.108
32,33.9,0,33.7,23,15.6,-1.0,2.3,11.6,-10.1,0.8,-3.2,-2.2,-0.8,1,33.9,2.4,11.3,-10.3,-1.0,1.26,Human,0,-0.974,0
32,33.95,0,33.75,24,15.5,-1.0,2.1,11.8,-9.8,0.6,-2.8,-1.8,-0.9,1,33.95,1.9,12.2,-9.3,-1.0,1.23,Human,0,-0.974,0
