track_id,timestamp,Radar id,time_from_start,num assoc,range,doppler,x,y,z,vx,vy,vz,calc_dopp,is assoc,assoc_timestamp,assoc_x,assoc_y,assoc_z,assoc_dopp,z var,class
24,21.4,0,21.3,16,10.6,-0.9,2.7,6.1,8.3,-0.2,-0.4,-0.6,-0.8,1,21.4,2.6,6.2,8.2,-1.0,0.32,Human
24,21.45,0,21.35,17,10.6,-0.9,2.6,6.5,8.0,-0.2,-0.0,-0.9,-0.7,1,21.45,2.6,6.9,7.5,-0.8,0.33,Human
24,21.5,0,21.4,18,10.5,-0.9,2.6,6.3,8.0,-0.2,-0.2,-0.8,-0.7,1,21.5,2.6,6.2,8.2,-1.0,0.31,Human
24,21.55,0,21.45,19,10.5,-0.9,2.6,6.3,8.1,-0.2,-0.2,-0.7,-0.7,1,21.55,2.6,6.2,8.2,-1.1,0.29,Human
24,21.6,0,21.5,20,10.5,-1.0,2.6,6.3,8.0,-0.2,-0.2,-0.7,-0.7,1,21.6,2.6,6.3,8.1,-1.3,0.28,Human
24,21.65,0,21.55,21,10.5,-1.0,2.6,6.3,8.0,-0.2,-0.1,-0.7,-0.7,1,21.65,2.6,6.4,8.0,-1.3,0.26,Human
24,21.7,0,21.6,22,10.5,-1.0,2.6,6.3,8.0,-0.2,-0.2,-0.6,-0.6,1,21.7,2.6,6.2,8.2,-1.0,0.25,Human
24,21.75,0,21.65,23,10.5,-1.1,2.6,6.3,8.0,-0.2,-0.1,-0.6,-0.6,1,21.75,2.6,6.4,8.0,-1.6,0.24,Human
24,21.8,0,21.7,24,10.5,-1.1,2.6,6.2,8.1,-0.1,-0.3,-0.5,-0.6,1,21.8,2.6,6.0,8.3,-1.8,0.24,Human
24,21.85,0,21.75,25,10.2,-1.1,2.5,6.2,7.7,-0.2,-0.2,-0.9,-0.9,1,21.85,2.4,6.3,7.1,-0.8,0.26,Human
24,21.9,0,21.8,26,10.0,-1.1,2.5,5.9,7.7,-0.3,-0.6,-0.9,-1.1,1,21.9,2.4,5.5,7.7,-0.8,0.25,Human
24,21.95,0,21.85,27,9.9,-1.1,2.5,5.7,7.6,-0.3,-0.7,-0.9,-1.2,1,21.95,2.4,5.6,7.6,-1.0,0.24,Human
24,22.0,0,21.9,28,9.8,-1.0,2.4,6.0,7.4,-0.3,-0.4,-1.1,-1.2,1,22.0,2.4,6.3,7.1,-1.0,0.25,Human
24,22.05,0,21.95,29,9.8,-1.0,2.4,5.4,7.7,-0.3,-1.1,-0.7,-1.3,1,22.05,2.4,4.6,8.3,-1.1,0.27,Human
24,22.1,0,22.0,30,9.7,-1.0,2.4,5.4,7.7,-0.3,-1.1,-0.7,-1.2,1,22.1,2.4,5.4,7.7,-1.1,0.26,Human
24,22.15,0,22.05,31,9.7,-1.1,2.4,5.4,7.6,-0.3,-0.9,-0.7,-1.1,1,22.15,2.4,5.6,7.6,-1.3,0.25,Human
24,22.25,0,22.15,32,9.7,-1.1,2.4,5.4,7.6,-0.2,-0.9,-0.6,-1.0,1,22.25,2.4,5.4,7.8,-1.1,0.24,Human
24,22.3,0,22.2,33,9.7,-1.1,2.6,4.9,7.8,-0.0,-1.4,-0.3,-1.0,1,22.3,2.7,4.5,8.2,-0.8,0.25,Human
24,22.35,0,22.25,34,9.7,-1.1,2.6,5.2,7.7,0.1,-1.0,-0.4,-0.9,1,22.35,2.7,5.6,7.5,-1.1,0.24,Human
24,22.4,0,22.3,35,9.7,-1.1,2.6,5.3,7.7,-0.0,-0.8,-0.4,-0.8,1,22.4,2.4,5.6,7.7,-1.0,0.23,Human
24,22.45,0,22.35,36,9.7,-1.1,2.5,5.2,7.8,-0.1,-0.9,-0.3,-0.8,1,22.45,2.4,5.0,8.0,-0.8,0.23,Human
24,22.5,0,22.4,37,9.7,-1.1,2.5,5.2,7.8,-0.1,-0.8,-0.3,-0.7,1,22.5,2.4,5.4,7.8,-1.0,0.22,Human
24,22.55,0,22.45,38,9.7,-1.1,2.6,5.2,7.8,0.0,-0.8,-0.3,-0.6,1,22.55,2.7,5.2,7.8,-0.8,0.22,Human
24,22.6,0,22.5,39,9.7,-1.1,2.5,5.1,7.8,-0.1,-0.8,-0.2,-0.6,1,22.6,2.4,5.0,8.0,-0.8,0.21,Human
24,22.65,0,22.55,40,9.4,-1.1,2.4,5.0,7.6,-0.2,-0.9,-0.5,-0.9,1,22.65,2.2,5.0,7.1,-1.0,0.22,Human
24,22.7,0,22.6,41,9.2,-1.0,2.4,4.8,7.5,-0.1,-1.1,-0.6,-1.1,1,22.7,2.5,4.6,7.2,-0.8,0.22,Human
24,22.75,0,22.65,42,9.1,-1.0,2.3,4.5,7.5,-0.2,-1.4,-0.5,-1.2,1,22.75,2.2,4.1,7.6,-1.0,0.22,Human
24,22.8,0,22.7,43,9.0,-1.0,2.3,4.4,7.5,-0.3,-1.4,-0.5,-1.2,1,22.8,2.2,4.4,7.5,-1.0,0.21,Human
24,22.85,0,22.75,44,9.0,-1.0,2.3,3.8,7.7,-0.3,-2.1,-0.2,-1.2,1,22.85,2.2,3.1,8.1,-1.1,0.22,Human
24,22.9,0,22.8,45,8.9,-1.0,2.2,3.9,7.6,-0.3,-1.8,-0.3,-1.1,1,22.9,2.2,4.3,7.5,-1.1,0.21,Human
24,22.95,0,22.85,46,8.9,-1.0,2.2,4.2,7.5,-0.3,-1.4,-0.4,-1.1,1,22.95,2.2,4.6,7.4,-1.0,0.21,Human
24,23.0,0,22.9,47,8.9,-1.0,2.2,3.8,7.7,-0.3,-1.7,-0.2,-1.0,1,23.0,2.2,3.5,7.9,-0.7,0.21,Human
24,23.05,0,22.95,48,8.9,-1.0,2.2,3.8,7.7,-0.3,-1.6,-0.2,-0.9,1,23.05,2.2,3.9,7.7,-1.0,0.2,Human
24,23.1,0,23.0,49,8.9,-1.0,2.2,3.7,7.7,-0.3,-1.6,-0.1,-0.8,1,23.1,2.2,3.8,7.8,-0.8,0.2,Human
24,23.15,0,23.05,50,8.9,-0.9,2.2,3.9,7.7,-0.3,-1.3,-0.2,-0.8,1,23.15,2.2,4.2,7.6,-0.8,0.19,Human
24,23.2,0,23.1,51,8.9,-0.9,2.2,3.9,7.7,-0.2,-1.2,-0.2,-0.7,1,23.2,2.2,4.0,7.7,-0.8,0.19,Human
24,23.25,0,23.15,52,8.9,-0.9,2.2,4.0,7.6,-0.2,-1.0,-0.2,-0.7,1,23.25,2.2,4.2,7.6,-0.8,0.19,Human
24,23.3,0,23.2,52,8.8,-0.9,2.2,3.9,7.6,-0.2,-1.0,-0.2,-0.7,0,,,,,,0.19,Human
24,23.35,0,23.25,53,8.9,-0.9,2.2,3.8,7.7,-0.2,-1.1,-0.1,-0.6,1,23.35,2.2,3.8,7.8,-1.0,0.18,Human
24,23.4,0,23.3,54,8.6,-0.9,2.1,2.8,7.7,-0.3,-2.3,-0.1,-0.9,1,23.4,2.0,1.6,7.7,-1.1,0.18,Human
24,23.45,0,23.35,55,8.7,-0.9,2.2,3.2,7.7,-0.2,-1.7,-0.0,-0.7,1,23.45,2.2,3.8,7.8,-1.1,0.18,Human
24,23.5,0,23.4,56,8.4,-0.9,2.1,3.0,7.6,-0.3,-1.8,-0.2,-0.9,1,23.5,2.0,2.9,7.3,-1.1,0.18,Human
24,23.55,0,23.45,57,8.3,-1.0,2.1,3.1,7.4,-0.3,-1.6,-0.4,-1.0,1,23.55,2.0,3.3,7.2,-1.3,0.18,Human
24,23.6,0,23.5,58,8.2,-1.0,2.0,2.7,7.4,-0.3,-1.9,-0.3,-1.0,1,23.6,2.0,2.4,7.5,-1.1,0.17,Human
24,23.65,0,23.55,59,8.1,-1.0,2.0,3.3,7.2,-0.3,-1.1,-0.6,-1.1,1,23.65,2.0,4.2,6.7,-1.0,0.18,Human
24,23.7,0,23.6,60,8.1,-1.0,2.0,3.6,7.0,-0.3,-0.7,-0.8,-1.1,1,23.7,2.0,4.0,6.8,-1.0,0.18,Human
24,23.75,0,23.65,61,8.1,-1.0,2.0,3.7,7.0,-0.3,-0.5,-0.8,-1.0,1,23.75,2.0,3.8,6.9,-1.0,0.18,Human
24,23.8,0,23.7,62,8.1,-1.0,2.0,3.6,7.0,-0.3,-0.6,-0.7,-1.0,1,23.8,2.0,3.4,7.1,-1.0,0.17,Human
24,23.85,0,23.75,63,8.1,-1.0,2.0,3.6,6.9,-0.3,-0.6,-0.7,-0.9,1,23.85,2.0,3.7,7.0,-1.0,0.17,Human
24,23.9,0,23.8,64,8.1,-1.0,2.0,3.5,7.0,-0.3,-0.6,-0.7,-0.9,1,23.9,2.0,3.5,7.1,-0.8,0.17,Human
24,23.95,0,23.85,65,8.1,-1.0,3.3,4.7,4.6,1.4,0.9,-3.4,-0.9,1,23.95,5.1,6.4,0.1,-0.8,0.88,Human
24,24.0,0,23.9,66,8.1,-1.0,2.8,4.5,5.2,0.7,0.6,-2.5,-1.1,1,24.0,2.0,4.1,6.7,-1.0,0.95,Human
24,24.05,0,23.95,67,8.1,-1.0,2.5,4.1,5.8,0.2,0.0,-1.7,-1.1,1,24.05,2.0,3.5,7.0,-1.0,0.99,Human
